Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
133.19189,30,53.6271069,12.06609906,7,106.178,255.77,40.216,307.6554,31869,1.876698168,0.176692792,30,4.066541352,8.346906353,29.31358485,3.35278746,4.138161012,1536.325779,30.53057495,1114.977578,9.080352024,860.4592191,130.7955315,29.89140817,126.157403,3512.429669,96310.48579
123.254989,30,50.82939869,11.4366147,7,95.513,269.734,40.583,310.45995,28047,1.919227338,0.197628207,30,5.66295843,8.338015173,28.73151953,4.655755821,4.163729451,1508.730792,33.54407288,1094.557737,9.98644203,843.7563324,127.3620463,32.12246117,123.7827347,3449.238025,94601.91334
114.893493,30,47.99922053,10.79982462,7,91.175,273.186,40.485,309.70725,26695,1.952034255,0.219822006,30,7.313072385,8.327350174,28.20653106,5.992178123,4.18643262,1482.867781,36.67778556,1075.298225,10.88866702,827.8969539,124.0089296,34.55515932,121.5151635,3389.713623,93818.23291
105.67362,30,44.8553202,10.09244705,7,90.707,271.839,40.283,308.1642,26690,1.972142402,0.242059028,30,8.877268941,8.316685985,27.75860062,7.263148585,4.205306413,1460.155591,39.77073283,1058.281917,11.7251835,813.747633,120.9439323,37.00577196,119.4842254,3337.194617,93184.60247
98.50373,30,42.1728033,9.488880743,7,86.229,271.755,39.776,304.2864,25572,1.983782372,0.263017317,30,10.22816097,8.323709731,27.39593148,8.388694497,4.217789184,1441.680897,42.66553367,1044.349612,12.43983712,802.0038037,118.333528,39.31645336,117.7964912,3294.26581,91411.57498
91.485316,30,40.37389036,9.084125331,7,85.708,271.04,39.639,303.2361,25496,1.988750835,0.282156011,30,11.32511869,8.348935491,27.10731329,9.349886974,4.224491892,1427.827406,45.32594712,1033.823164,13.02575925,792.9394952,116.2322097,41.45031453,116.4944973,3261.912138,90690.50338
88.758735,30,38.74120935,8.716772104,7,74.128,271.535,38.407,293.81355,22401,1.991057664,0.298816985,30,12.14095949,8.407221386,26.88104755,10.12927714,4.224161843,1418.644567,47.69125762,1026.772124,13.48385969,786.6366862,114.6665649,43.36258495,115.5938086,3240.335098,87203.39585
87.142991,30,38.64248711,8.6945596,7,87.453,263.672,39.014,298.45635,26555,1.988333825,0.313668826,30,12.75139691,8.454643509,26.69937905,10.77575779,4.223556211,1413.598142,49.8796746,1022.822069,13.86978938,782.7821851,113.5477175,45.15377958,115.0452114,3228.366151,90274.46957
86.794591,30,37.84468311,8.5150537,7,85.832,266.445,39.142,299.43555,25905,1.985978272,0.326893091,30,13.19126089,8.469969595,26.55527622,11.30721965,4.225893328,1412.316258,51.93614452,1021.70963,14.21496496,781.1623648,112.8265657,46.85584801,114.816834,3225.181544,89424.64817
87.203571,30,37.06436891,8.339483005,7,80.16,267.819,38.664,295.78185,24310,1.984152471,0.337976314,30,13.43248171,8.488829135,26.44499983,11.69257807,4.226767501,1414.383956,53.78087485,1023.13281,14.51561549,781.5614915,112.4971105,48.38114903,114.8828988,3229.84683,88613.50353
