Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
52.061009,30,24.04400289,5.409900651,7,17.431,119.832,15.252,116.67405,11906,3.758623269,0.155863501,30,0.492276786,10.96247174,31.87999413,0.892213474,3.649842378,1636.941207,29.23515092,1202.920578,8.218258379,919.671709,139.8462518,32.32854681,134.7237951,3757.259865,64853.47847
52.444756,30,24.02832276,5.406372621,7,17.354,117.937,15.032,114.99705,12059,3.971408515,0.151432046,30,0.406011267,10.73116683,31.96248704,0.677468245,3.68034054,1639.626689,28.45287447,1204.464033,8.002313186,921.0796818,140.2684142,31.60228046,134.907395,3762.307065,65003.63031
52.757809,30,24.15801089,5.435552451,7,17.689,116.835,14.947,114.3453,12446,4.155082094,0.147268889,30,0.345742834,10.49022476,32.03066549,0.511513755,3.712531084,1641.354063,27.6985024,1205.276401,7.799274279,921.9194037,140.5706444,30.88980789,135.0089854,3765.042033,65388.45376
53.161745,30,24.51241145,5.515292577,7,18.368,116.724,15.01,114.828,12982,4.305533316,0.143359944,30,0.304806409,10.24706569,32.08609066,0.394085217,3.745227233,1642.367603,26.97562348,1205.545239,7.610119819,922.3346736,140.7747606,30.19814513,135.0511443,3766.044476,65922.9115
53.515189,30,24.95082069,5.613934656,7,18.373,116.978,15.039,115.04835,12956,4.428109971,0.139657049,30,0.276074306,10.01102375,32.12960616,0.315421556,3.777207432,1642.884103,26.28061831,1205.430333,7.432529385,922.4522706,140.9092356,29.52217307,135.0532473,3765.837127,65902.23101
54.424045,30,25.33702445,5.700830502,7,18.087,116.911,15,114.7485,12745,4.531503899,0.136109829,30,0.254619998,9.78948823,32.16156781,0.263226318,3.807622177,1643.061869,25.60790795,1205.044338,7.263205225,922.3632071,140.9996127,28.85342377,135.0287995,3764.805434,65692.91727
55.151135,30,25.87738335,5.822411254,7,19.31,117.556,15.207,116.3358,13597,4.611039308,0.132763097,30,0.240721954,9.579789247,32.18222614,0.230541526,3.836863009,1642.970707,24.96773338,1204.450527,7.103049508,922.1119397,141.0591612,28.19587257,134.9844377,3763.158148,66534.8724
57.130437,30,26.56143477,5.976322824,7,20.389,119.384,15.53,118.80675,14171,4.664561607,0.129660811,30,0.233157631,9.381000498,32.19164501,0.211395311,3.865062032,1642.610405,24.36908245,1203.6603,6.952148367,921.7039888,141.0941232,27.54946751,134.9212421,3760.938232,67111.18308
63.406603,30,29.69733363,6.681900067,7,25.748,121.592,16.371,125.2389,17637,4.679588065,0.126945757,30,0.235493089,9.185038028,32.18817364,0.205326849,3.893283911,1641.924747,23.83836386,1202.66116,6.815985947,921.1175148,141.1019229,26.9279681,134.8366514,3758.093352,70549.74879
77.852424,30,35.57776504,8.004997134,7,27.434,129.566,17.444,133.4496,17635,4.66593295,0.12463235,30,0.242981942,9.001449761,32.16840124,0.20757392,3.920471201,1640.865052,23.3783717,1201.415034,6.693731195,920.3251754,141.0829285,26.32269288,134.7274429,3754.522798,70580.9924
92.899092,30,41.50136732,9.337807647,7,38.139,139.287,19.714,150.8121,22461,4.618932832,0.122876951,30,0.260930807,8.830010116,32.12461641,0.221395926,3.947029912,1639.310226,23.0166542,1199.847088,6.593991797,919.2577976,141.0250125,25.74850473,134.5846948,3749.993684,75360.67055
